num_pushers,language,language_type,iso2_code,year,quarter
3321,HTML,markup,AE,2021,1
2252,CSS,markup,AE,2021,1
664,SCSS,markup,AE,2021,1
512,Jupyter Notebook,markup,AE,2021,1
131,Vue,markup,AE,2021,1
108,Less,markup,AE,2021,1
2544,JavaScript,programming,AE,2021,1
1461,Python,programming,AE,2021,1
1379,Shell,programming,AE,2021,1
750,Java,programming,AE,2021,1
685,Ruby,programming,AE,2021,1
536,Dockerfile,programming,AE,2021,1
480,TypeScript,programming,AE,2021,1
389,PHP,programming,AE,2021,1
382,C++,programming,AE,2021,1
331,Makefile,programming,AE,2021,1
311,C#,programming,AE,2021,1
308,C,programming,AE,2021,1
286,Objective-C,programming,AE,2021,1
236,Swift,programming,AE,2021,1
220,Batchfile,programming,AE,2021,1
199,Kotlin,programming,AE,2021,1
135,Dart,programming,AE,2021,1
134,PowerShell,programming,AE,2021,1
133,Go,programming,AE,2021,1
102,CMake,programming,AE,2021,1
220,HTML,markup,AF,2021,1
133,CSS,markup,AF,2021,1
161,JavaScript,programming,AF,2021,1
143,Shell,programming,AF,2021,1
120,PHP,programming,AF,2021,1
1403,HTML,markup,AL,2021,1
1200,CSS,markup,AL,2021,1
306,SCSS,markup,AL,2021,1
104,Vue,markup,AL,2021,1
1226,JavaScript,programming,AL,2021,1
377,Shell,programming,AL,2021,1
363,PHP,programming,AL,2021,1
315,Python,programming,AL,2021,1
294,Java,programming,AL,2021,1
210,TypeScript,programming,AL,2021,1
173,C#,programming,AL,2021,1
164,Hack,programming,AL,2021,1
144,Ruby,programming,AL,2021,1
109,Dockerfile,programming,AL,2021,1
2199,HTML,markup,AM,2021,1
1674,CSS,markup,AM,2021,1
570,SCSS,markup,AM,2021,1
202,Blade,markup,AM,2021,1
187,Vue,markup,AM,2021,1
130,Jupyter Notebook,markup,AM,2021,1
2065,JavaScript,programming,AM,2021,1
754,Shell,programming,AM,2021,1
559,Python,programming,AM,2021,1
526,Java,programming,AM,2021,1
447,PHP,programming,AM,2021,1
345,TypeScript,programming,AM,2021,1
280,Dockerfile,programming,AM,2021,1
261,C++,programming,AM,2021,1
257,C#,programming,AM,2021,1
240,Ruby,programming,AM,2021,1
166,Makefile,programming,AM,2021,1
157,C,programming,AM,2021,1
136,Kotlin,programming,AM,2021,1
106,Swift,programming,AM,2021,1
106,Objective-C,programming,AM,2021,1
427,HTML,markup,AO,2021,1
319,CSS,markup,AO,2021,1
361,JavaScript,programming,AO,2021,1
136,Shell,programming,AO,2021,1
115,PHP,programming,AO,2021,1
104,TypeScript,programming,AO,2021,1
20864,HTML,markup,AR,2021,1
16871,CSS,markup,AR,2021,1
5082,SCSS,markup,AR,2021,1
1260,Jupyter Notebook,markup,AR,2021,1
1036,Vue,markup,AR,2021,1
706,Blade,markup,AR,2021,1
673,Less,markup,AR,2021,1
648,EJS,markup,AR,2021,1
440,TeX,markup,AR,2021,1
427,Handlebars,markup,AR,2021,1
299,Pug,markup,AR,2021,1
275,Roff,markup,AR,2021,1
204,Sass,markup,AR,2021,1
138,Twig,markup,AR,2021,1
124,Rich Text Format,markup,AR,2021,1
18165,JavaScript,programming,AR,2021,1
6481,Shell,programming,AR,2021,1
5265,Python,programming,AR,2021,1
3917,Java,programming,AR,2021,1
3517,TypeScript,programming,AR,2021,1
3091,PHP,programming,AR,2021,1
2261,Dockerfile,programming,AR,2021,1
2255,C#,programming,AR,2021,1
2137,Ruby,programming,AR,2021,1
