num_pushers,language,language_type,iso2_code,year,quarter
103,JavaScript,programming,AD,2023,1
5230,HTML,markup,AE,2023,1
4166,CSS,markup,AE,2023,1
1007,SCSS,markup,AE,2023,1
871,Jupyter Notebook,markup,AE,2023,1
256,Vue,markup,AE,2023,1
177,Blade,markup,AE,2023,1
137,Less,markup,AE,2023,1
126,Roff,markup,AE,2023,1
103,Handlebars,markup,AE,2023,1
4593,JavaScript,programming,AE,2023,1
2576,Python,programming,AE,2023,1
2220,Shell,programming,AE,2023,1
1243,TypeScript,programming,AE,2023,1
1107,Dockerfile,programming,AE,2023,1
1093,Java,programming,AE,2023,1
853,C,programming,AE,2023,1
794,Makefile,programming,AE,2023,1
762,C++,programming,AE,2023,1
620,Ruby,programming,AE,2023,1
607,PHP,programming,AE,2023,1
535,C#,programming,AE,2023,1
528,Kotlin,programming,AE,2023,1
524,Objective-C,programming,AE,2023,1
471,Swift,programming,AE,2023,1
438,CMake,programming,AE,2023,1
357,Go,programming,AE,2023,1
324,Batchfile,programming,AE,2023,1
307,Dart,programming,AE,2023,1
219,Solidity,programming,AE,2023,1
204,PowerShell,programming,AE,2023,1
190,Rust,programming,AE,2023,1
179,Procfile,programming,AE,2023,1
147,Assembly,programming,AE,2023,1
138,Perl,programming,AE,2023,1
131,Lua,programming,AE,2023,1
124,HCL,programming,AE,2023,1
120,Objective-C++,programming,AE,2023,1
101,Smarty,programming,AE,2023,1
582,HTML,markup,AF,2023,1
479,CSS,markup,AF,2023,1
399,JavaScript,programming,AF,2023,1
194,Python,programming,AF,2023,1
115,Shell,programming,AF,2023,1
1189,HTML,markup,AL,2023,1
1051,CSS,markup,AL,2023,1
241,SCSS,markup,AL,2023,1
1047,JavaScript,programming,AL,2023,1
326,Python,programming,AL,2023,1
322,Shell,programming,AL,2023,1
293,Java,programming,AL,2023,1
280,TypeScript,programming,AL,2023,1
233,PHP,programming,AL,2023,1
171,C#,programming,AL,2023,1
159,Dockerfile,programming,AL,2023,1
4202,HTML,markup,AM,2023,1
3458,CSS,markup,AM,2023,1
1178,SCSS,markup,AM,2023,1
352,Jupyter Notebook,markup,AM,2023,1
294,Vue,markup,AM,2023,1
229,Blade,markup,AM,2023,1
138,Roff,markup,AM,2023,1
121,Less,markup,AM,2023,1
4058,JavaScript,programming,AM,2023,1
1865,Shell,programming,AM,2023,1
1784,Python,programming,AM,2023,1
1436,TypeScript,programming,AM,2023,1
1066,Java,programming,AM,2023,1
973,Dockerfile,programming,AM,2023,1
790,C++,programming,AM,2023,1
723,Makefile,programming,AM,2023,1
633,C,programming,AM,2023,1
583,C#,programming,AM,2023,1
528,PHP,programming,AM,2023,1
325,CMake,programming,AM,2023,1
315,Kotlin,programming,AM,2023,1
314,Ruby,programming,AM,2023,1
287,Batchfile,programming,AM,2023,1
272,Go,programming,AM,2023,1
252,Swift,programming,AM,2023,1
227,Objective-C,programming,AM,2023,1
152,PowerShell,programming,AM,2023,1
133,Perl,programming,AM,2023,1
104,Objective-C++,programming,AM,2023,1
104,HCL,programming,AM,2023,1
103,Lua,programming,AM,2023,1
102,Rust,programming,AM,2023,1
865,HTML,markup,AO,2023,1
761,CSS,markup,AO,2023,1
171,SCSS,markup,AO,2023,1
757,JavaScript,programming,AO,2023,1
246,TypeScript,programming,AO,2023,1
217,Shell,programming,AO,2023,1
213,PHP,programming,AO,2023,1
119,Python,programming,AO,2023,1
116,Java,programming,AO,2023,1
106,YAML,data,AR,2023,1
105,JSON,data,AR,2023,1
53143,HTML,markup,AR,2023,1
47745,CSS,markup,AR,2023,1
9165,SCSS,markup,AR,2023,1
2350,Jupyter Notebook,markup,AR,2023,1
1999,EJS,markup,AR,2023,1
1807,Handlebars,markup,AR,2023,1
912,Vue,markup,AR,2023,1
742,Nunjucks,markup,AR,2023,1
712,Less,markup,AR,2023,1
686,Blade,markup,AR,2023,1
524,Pug,markup,AR,2023,1
417,TeX,markup,AR,2023,1
325,Roff,markup,AR,2023,1
238,Astro,markup,AR,2023,1
227,Svelte,markup,AR,2023,1
211,Sass,markup,AR,2023,1
149,Rich Text Format,markup,AR,2023,1
149,Jinja,markup,AR,2023,1
119,Mustache,markup,AR,2023,1
102,Twig,markup,AR,2023,1
45622,JavaScript,programming,AR,2023,1
10042,TypeScript,programming,AR,2023,1
9748,Shell,programming,AR,2023,1
9600,Python,programming,AR,2023,1
7814,Java,programming,AR,2023,1
4331,Dockerfile,programming,AR,2023,1
3342,PHP,programming,AR,2023,1
3146,C#,programming,AR,2023,1
2599,C,programming,AR,2023,1
2442,C++,programming,AR,2023,1
2183,Makefile,programming,AR,2023,1
1645,Ruby,programming,AR,2023,1
1331,Batchfile,programming,AR,2023,1
1083,Go,programming,AR,2023,1
1031,Kotlin,programming,AR,2023,1
1016,CMake,programming,AR,2023,1
945,Objective-C,programming,AR,2023,1
787,Hack,programming,AR,2023,1
781,Procfile,programming,AR,2023,1
780,PowerShell,programming,AR,2023,1
713,Swift,programming,AR,2023,1
661,Lua,programming,AR,2023,1
599,Rust,programming,AR,2023,1
521,Solidity,programming,AR,2023,1
511,Assembly,programming,AR,2023,1
500,Perl,programming,AR,2023,1
475,Dart,programming,AR,2023,1
448,R,programming,AR,2023,1
432,HLSL,programming,AR,2023,1
428,ShaderLab,programming,AR,2023,1
427,Objective-C++,programming,AR,2023,1
420,Vim Script,programming,AR,2023,1
354,Smarty,programming,AR,2023,1
340,HCL,programming,AR,2023,1
332,TSQL,programming,AR,2023,1
285,Starlark,programming,AR,2023,1
280,Gherkin,programming,AR,2023,1
269,Nix,programming,AR,2023,1
265,GLSL,programming,AR,2023,1
255,Haskell,programming,AR,2023,1
254,XSLT,programming,AR,2023,1
232,Pascal,programming,AR,2023,1
227,ASP.NET,programming,AR,2023,1
209,PLpgSQL,programming,AR,2023,1
185,Groovy,programming,AR,2023,1
184,MATLAB,programming,AR,2023,1
183,Fortran,programming,AR,2023,1
177,Scala,programming,AR,2023,1
172,Smalltalk,programming,AR,2023,1
160,Elixir,programming,AR,2023,1
153,Mathematica,programming,AR,2023,1
148,CoffeeScript,programming,AR,2023,1
145,Cython,programming,AR,2023,1
145,Prolog,programming,AR,2023,1
139,Awk,programming,AR,2023,1
133,Papyrus,programming,AR,2023,1
132,Visual Basic .NET,programming,AR,2023,1
131,M4,programming,AR,2023,1
130,GDScript,programming,AR,2023,1
129,Tcl,programming,AR,2023,1
129,Mako,programming,AR,2023,1
127,Raku,programming,AR,2023,1
118,Clojure,programming,AR,2023,1
117,NSIS,programming,AR,2023,1
111,Forth,programming,AR,2023,1
111,Emacs Lisp,programming,AR,2023,1
104,Julia,programming,AR,2023,1
104,Yacc,programming,AR,2023,1
